date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
2013-01-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,4897.52,1.14
2013-01-15,Eastern,Kenema,Kenema,342,7.88,-11.19,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3400,0.79
2013-01-15,Eastern,Kenema,Kenema,342,7.88,-11.19,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3400,0.79
2013-01-15,Eastern,Kenema,Kenema,342,7.88,-11.19,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,4631.52,1.08
2013-01-15,Eastern,Kenema,Kenema,342,7.88,-11.19,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,22222.22,5.18
2013-01-15,Eastern,Kenema,Kenema,342,7.88,-11.19,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,9666.67,2.25
2013-01-15,Eastern,Kenema,Kenema,342,7.88,-11.19,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,7307.69,1.7
2013-01-15,Eastern,Kenema,Kenema,342,7.88,-11.19,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,3600,0.84
2013-01-15,Eastern,Kono,Kono,1788,8.65,-10.98,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,2666.67,0.62
2013-01-15,Eastern,Kono,Kono,1788,8.65,-10.98,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,2666.67,0.62
2013-01-15,Eastern,Kono,Kono,1788,8.65,-10.98,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,10000,2.33
2013-01-15,Eastern,Kono,Kono,1788,8.65,-10.98,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,20000,4.66
2013-01-15,Eastern,Kono,Kono,1788,8.65,-10.98,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,5333.33,1.24
2013-01-15,Eastern,Kono,Kono,1788,8.65,-10.98,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,3333.33,0.78
2013-01-15,Eastern,Kono,Kono,1788,8.65,-10.98,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,8000,1.86
2013-01-15,North Western,Kambia,Kambia,1789,9.12,-12.92,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3600,0.84
2013-01-15,North Western,Kambia,Kambia,1789,9.12,-12.92,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3400,0.79
2013-01-15,North Western,Kambia,Kambia,1789,9.12,-12.92,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,8444.44,1.97
2013-01-15,North Western,Kambia,Kambia,1789,9.12,-12.92,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,20000,4.66
2013-01-15,North Western,Kambia,Kambia,1789,9.12,-12.92,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,4000,0.93
2013-01-15,North Western,Kambia,Kambia,1789,9.12,-12.92,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,20000,4.66
2013-01-15,Northern,Koinadugu,Koinadugu,1773,9.52,-11.36,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,1579.49,0.37
2013-01-15,Northern,Koinadugu,Koinadugu,1773,9.52,-11.36,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,7750,1.81
2013-01-15,Northern,Koinadugu,Koinadugu,1773,9.52,-11.36,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,6175.12,1.44
2013-01-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,1852.38,0.43
2013-01-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3233.33,0.75
2013-01-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3466.67,0.81
2013-01-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,73333.34,17.09
2013-01-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,22800,5.31
2013-01-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,10000,2.33
2013-01-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,9166.67,2.14
2013-01-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,2888.89,0.67
2013-01-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,401.73,0.094
2013-01-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3714.29,0.87
2013-01-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,2971.43,0.69
2013-01-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,20000,4.66
2013-01-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,13714.29,3.2
2013-01-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3466.67,0.81
2013-01-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,2539.68,0.59
2013-01-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,25925.93,6.04
2013-01-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,8777.78,2.05
2013-01-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,pulses and nuts,Beans (fava),104,KG,actual,Retail,SLL,4096.87,0.95
